"";"max_depth";"max_features";"min_impurity_decrease";"min_samples_leaf";"min_samples_split";"min_weight_fraction_leaf";"dataset";"metric"
"1";9;0,937162121572595;0,231731793994333;0,0196534297721171;0,0107458208658766;0,0188006299423944;"boston";"mae"
"2";11;0,575155967030907;0,244675438410749;0,0159221749401469;0,0294558138303584;0,011126965357377;"boston";"mse"
"3";9;0,772917057383407;0,0057914865643913;0,0111739760230403;0,376506932332168;0,0135035551488608;"breast";"acc"
"4";4;0,230820893080889;0,00396207638352962;0,0812241594563608;0,317459487233101;0,0792543507956876;"breast";"nll"
"5";5;0,980560744771517;0,477203142455018;0,0250560663277534;0,0493904051886533;0,04812532922542;"diabetes";"mae"
"6";6;0,907035658702132;0,248964484757592;0,0335455753201288;0,0317192322658591;0,0654335204787085;"diabetes";"mse"
"7";10;0,972948874095484;0,00418992146901612;0,0112819705616808;0,0101139994115736;0,0108809975363851;"digits";"acc"
"8";15;0,504639132337625;0,0217518264256725;0,0290359199485172;0,0244589046927908;0,0121163222000937;"digits";"nll"
"9";12;0,784175368030817;0,0210814705324695;0,0180736304997294;0,20186677271338;0,02217058685508;"iris";"acc"
"10";10;0,927143059964749;0,0149613420871226;0,0113322979919527;0,100273783373676;0,0187218329432734;"iris";"nll"
"11";6;0,980795538962197;0,0135078139479696;0,0240990625367696;0,0145881968258208;0,0125901631766804;"wine";"acc"
"12";4;0,567621200396613;0,0301553503923232;0,0100919792898214;0,109319217614807;0,024666450980037;"wine";"nll"
