"";"alpha";"batch_size";"hidden_layer_sizes";"learning_rate_init";"momentum";"power_t";"tol";"validation_fraction";"dataset";"metric"
"1";0,00161509333505967;71;172;7,16039826651272e-05;0,933780151661359;0,101597583447401;3,97166911190779e-05;0,152552067760305;"boston";"mae"
"2";5,40379652716024e-05;71;167;0,0005237456478055;0,860653469918326;0,250125903128152;0,000125864120529017;0,1605718927811;"boston";"mse"
"3";0,403254989239372;17;107;0,000384872834353065;0,5569306211499;0,160300017409879;0,00766035973229214;0,246286503810038;"breast";"acc"
"4";0,848789228073178;15;130;0,0214936060435598;0,993978848558804;0,637659329676184;0,000310158696729701;0,386103100214215;"breast";"nll"
"5";0,19814608314323;78;78;0,00445022147349186;0,976795947618485;0,130162908871451;0,00299209600316098;0,112707614281587;"diabetes";"mae"
"6";1,1855260066144e-05;19;106;0,000207306169639989;0,977735283028976;0,128508218471261;3,90074001889081e-05;0,289278451678946;"diabetes";"mse"
"7";0,472765221698758;10;188;0,00319301369198197;0,830329101499782;0,104214218651663;0,00140169135619332;0,21944567614058;"digits";"acc"
"8";1,5442251592645e-05;16;196;0,0103779372638138;0,907367470152142;0,115985641303926;0,00012486954048945;0,148999883751677;"digits";"nll"
"9";0,43086004172622;10;199;0,0773706341688283;0,945031978740972;0,306158228956503;6,42391273185079e-05;0,288911809081125;"iris";"acc"
"10";0,390574353703481;16;139;0,0632726676739117;0,998980119249482;0,143697595887227;0,0031139933825817;0,387554608465583;"iris";"nll"
"11";1,29264112685778;34;142;8,37083507391597e-05;0,992688910510569;0,118425699504008;0,00133554366050435;0,338490745305504;"wine";"acc"
"12";0,267215806357987;10;112;0,000955494521220261;0,0023809896314357;0,26886759594574;0,0593545281406071;0,47376426950372;"wine";"nll"
