"";"C";"gamma";"tol";"dataset";"metric"
"1";990,944084467086;0,000100022487279278;0,099790385646749;"boston";"mae"
"2";997,699987573933;0,000100016841971691;0,0999645590863346;"boston";"mse"
"3";52,8802439368059;0,000112240710386559;0,0967715918486367;"breast";"acc"
"4";4,85009269753609;0,000117079015044885;0,0953875349665231;"breast";"nll"
"5";33,4629770554756;0,000868203280626434;0,0513442514215618;"clf-1";"acc"
"6";1,30916029988305;0,000428969680490454;0,099655248865583;"clf-1";"nll"
"7";64,6567874858565;0,000645012196987216;0,0274628224707506;"clf-2";"acc"
"8";136,178025315755;0,000102132365382259;0,0917835959024616;"clf-2";"nll"
"9";318,769115048205;0,000110388636010744;0,00109234576072902;"clf-3";"acc"
"10";3,57820961519785;0,000988049561248353;0,0746994791453251;"clf-3";"nll"
"11";8,00298683967409;0,00059687526552289;0,0802826586281871;"clf-4";"acc"
"12";2,88364168759298;0,000221680401293551;0,000738782495254294;"clf-4";"nll"
"13";653,789099862122;0,000234510681052857;0,0278704428579483;"clf-5";"acc"
"14";998,51586314738;0,00099191101745359;4,39794613795936e-05;"clf-5";"nll"
"15";1000;0,001;0,0268269579527973;"diabetes";"mae"
"16";1000;0,001;0,000138949549437314;"diabetes";"mse"
"17";3,02330844418033;0,000452738917244435;0,0936787167695486;"digits";"acc"
"18";1,91339081144413;0,000881895140320726;5,6209304445898e-05;"digits";"nll"
"19";563,49911304329;0,000683811438103184;0,0573308547905189;"iris";"acc"
"20";769,436225589479;0,000880728829162224;0,00855222028309142;"iris";"nll"
"21";89,2002332367552;0,000104922762804713;0,0708332108454717;"wine";"acc"
"22";4,68013807990323;0,0003517707740259;1,65460118269251e-05;"wine";"nll"
