"";"learning_rate";"n_estimators";"dataset";"metric"
"1";2,44848306067864;100;"boston";"mae"
"2";2,51353629986576;59;"boston";"mse"
"3";1,83110620917437;93;"breast";"acc"
"4";0,0726733631535027;10;"breast";"nll"
"5";0,358243489449487;80;"clf-1";"acc"
"6";0,000110103758566905;93;"clf-1";"nll"
"7";0,287584186021999;89;"clf-2";"acc"
"8";0,0499445422959836;11;"clf-2";"nll"
"9";0,1733335398581;86;"clf-3";"acc"
"10";0,0293596999021121;14;"clf-3";"nll"
"11";0,0666303703999701;40;"clf-4";"acc"
"12";0,0270515001517779;11;"clf-4";"nll"
"13";0,326806675113347;14;"clf-5";"acc"
"14";0,0206406811159843;26;"clf-5";"nll"
"15";3,36972052186468;58;"diabetes";"mae"
"16";0,00415826328434266;12;"diabetes";"mse"
"17";2,18842984866335;100;"digits";"acc"
"18";2,18254347205727;97;"digits";"nll"
"19";1,77463879827041;15;"iris";"acc"
"20";2,17886043508445;20;"iris";"nll"
"21";0,812474317841918;50;"wine";"acc"
"22";0,944887335143856;26;"wine";"nll"
